,Iteration,Time,Fitness,pop_size,mutation_prob,max_iters,Population Size,Mutation Rate
0,0,0.0005721999996239902,11.0,100,0.1,512,100,0.1
1,1,0.012902499999654538,15.0,100,0.1,512,100,0.1
2,2,0.022032199999557633,15.0,100,0.1,512,100,0.1
3,3,0.03065454999978101,16.0,100,0.1,512,100,0.1
4,4,0.03927690000000439,16.0,100,0.1,512,100,0.1
5,5,0.04716944999995576,17.0,100,0.1,512,100,0.1
6,6,0.05506199999990713,17.0,100,0.1,512,100,0.1
7,7,0.0629545499998585,19.0,100,0.1,512,100,0.1
8,8,0.07084709999980987,19.0,100,0.1,512,100,0.1
9,9,0.07295031249975636,19.0,100,0.1,512,100,0.1
10,10,0.07505352499970286,19.0,100,0.1,512,100,0.1
11,11,0.07715673749964935,20.0,100,0.1,512,100,0.1
12,0,0.00030780000088270754,11.0,100,0.2,512,100,0.2
13,1,0.007384500000625849,14.0,100,0.2,512,100,0.2
14,2,0.014125700000477082,16.0,100,0.2,512,100,0.2
15,3,0.02011205000053451,16.0,100,0.2,512,100,0.2
16,4,0.026098400000591937,17.0,100,0.2,512,100,0.2
17,5,0.03144662500062623,17.0,100,0.2,512,100,0.2
18,6,0.03679485000066052,17.0,100,0.2,512,100,0.2
19,7,0.04214307500069481,18.0,100,0.2,512,100,0.2
20,8,0.0474913000007291,18.0,100,0.2,512,100,0.2
21,9,0.05289595000067493,18.0,100,0.2,512,100,0.2
22,10,0.05830060000062076,18.0,100,0.2,512,100,0.2
23,11,0.0637052500005666,18.0,100,0.2,512,100,0.2
24,12,0.06910990000051243,18.0,100,0.2,512,100,0.2
25,13,0.07451455000045826,18.0,100,0.2,512,100,0.2
26,14,0.07991920000040409,18.0,100,0.2,512,100,0.2
27,15,0.08532385000034992,18.0,100,0.2,512,100,0.2
28,16,0.09072850000029575,18.0,100,0.2,512,100,0.2
29,17,0.09626881875033177,18.0,100,0.2,512,100,0.2
30,18,0.1018091375003678,19.0,100,0.2,512,100,0.2
31,19,0.10734945625040382,19.0,100,0.2,512,100,0.2
32,20,0.11288977500043984,19.0,100,0.2,512,100,0.2
33,21,0.11843009375047586,19.0,100,0.2,512,100,0.2
34,22,0.12397041250051188,19.0,100,0.2,512,100,0.2
35,23,0.1295107312505479,19.0,100,0.2,512,100,0.2
36,24,0.13505105000058393,19.0,100,0.2,512,100,0.2
37,25,0.14059136875061995,19.0,100,0.2,512,100,0.2
38,26,0.14613168750065597,19.0,100,0.2,512,100,0.2
39,27,0.151672006250692,19.0,100,0.2,512,100,0.2
40,28,0.15721232500072801,19.0,100,0.2,512,100,0.2
41,29,0.16275264375076404,19.0,100,0.2,512,100,0.2
42,30,0.16829296250080006,19.0,100,0.2,512,100,0.2
43,31,0.17383328125083608,19.0,100,0.2,512,100,0.2
44,32,0.1793736000008721,19.0,100,0.2,512,100,0.2
45,33,0.18490096562587155,19.0,100,0.2,512,100,0.2
46,34,0.190428331250871,19.0,100,0.2,512,100,0.2
47,35,0.19595569687587044,19.0,100,0.2,512,100,0.2
48,36,0.2014830625008699,19.0,100,0.2,512,100,0.2
