,Iteration,Fitness,Time,State,pop_size,mutation_prob,max_iters,Population Size,Mutation Rate
0,0,17.0,0.05748889999995299,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],100,0.1,512,100,0.1
1,1,13.0,0.11207699999977194,[13  1  8  4 19  0  2  5  4 20  4  0 16 18 13 11  9 19 20 17 10],100,0.1,512,100,0.1
2,2,13.0,0.17098629999964032,[13  1  8  4 19  0  2  5  4 20  4  0 16 18 13 11  9 19 20 17 10],100,0.1,512,100,0.1
3,4,12.0,0.2884019000002809,[ 3 12  7 17  7 13  1 13 15 18 14  1 14  1 16 19  9  6 14 10  4],100,0.1,512,100,0.1
4,8,12.0,0.5181521000004068,[ 3 12  7 17  7 13  1 13 15 18 14  1 14  1 16 19  9  6 14 10  4],100,0.1,512,100,0.1
5,16,10.0,0.9824956000002203,[ 3 12  7 17 19 13  2 12  8 18 12  1  0  1 20 14  9  6  4 17  4],100,0.1,512,100,0.1
6,32,10.0,1.8385785999998916,[ 3 12  7 17 19 13  2 12  8 18 12  1  0  1 20 14  9  6  4 17  4],100,0.1,512,100,0.1
7,64,7.0,3.530405000000428,[ 2 10 18  6 19  0 10 12  5 18  4 17  0 20  1 15  9 18  3 13 19],100,0.1,512,100,0.1
8,128,7.0,7.030194900000424,[ 2 10 18  6 19  0 10 12  5 18  4 17  0 20  1 15  9 18  3 13 19],100,0.1,512,100,0.1
9,256,6.0,14.718022799999744,[14  6  7 19 19  0  2  8  5  1  9  1 18 20 13 17 10 12  3 17  4],100,0.1,512,100,0.1
10,512,5.0,28.589902599999732,[17 10  2 14 19 13 10 12  5  0  4 17 15 20  1  7  9 18  3 17  8],100,0.1,512,100,0.1
11,0,17.0,0.0509410000004209,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],100,0.2,512,100,0.2
12,1,13.0,0.10919340000054945,[13  1  8  4 19  0  2  5  4 20  4  0 16 18 13 11  9 19 20 17 10],100,0.2,512,100,0.2
13,2,13.0,0.16376780000064173,[13  1  8  4 19  0  2  5  4 20  4  0 16 18 13 11  9 19 20 17 10],100,0.2,512,100,0.2
14,4,11.0,0.27282629999990604,[13 19  5 16  6  1 17 18 18 18 12 10  0 18 20  0 13 11 14 14 20],100,0.2,512,100,0.2
15,8,11.0,0.4646278000000166,[13 19  5 16  6  1 17 18 18 18 12 10  0 18 20  0 13 11 14 14 20],100,0.2,512,100,0.2
16,16,10.0,0.8823720999998841,[16  9  6 18  5 12  1  6 18  7 13 11 17  4 20 10  2 10 14 17 20],100,0.2,512,100,0.2
17,32,8.0,1.707846100000097,[ 7 18 20  8  4  0 15 13 12  6  5 16 11  3 16 11  2 10 19 17  1],100,0.2,512,100,0.2
18,64,8.0,3.4622755000000325,[ 7 18 20  8  4  0 15 13 12  6  5 16 11  3 16 11  2 10 19 17  1],100,0.2,512,100,0.2
19,128,7.0,7.050191799999993,[ 7 18 13  8  4 19  0 15 12  0  5  3  0  2 16 11 15 10  5 17  1],100,0.2,512,100,0.2
20,256,4.0,14.499481500000002,[ 7 18 14  8  4 19  0 15 12 19  7  3  0  2 16 11 13 10  5 17  1],100,0.2,512,100,0.2
21,512,4.0,27.8077301000003,[ 7 18 14  8  4 19  0 15 12 19  7  3  0  2 16 11 13 10  5 17  1],100,0.2,512,100,0.2
22,0,17.0,0.043670600000041304,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],100,0.3,512,100,0.3
23,1,13.0,0.0919514999995954,[13  1  8  4 19  0  2  5  4 20  4  0 16 18 13 11  9 19 20 17 10],100,0.3,512,100,0.3
24,2,13.0,0.1408037000001059,[13  1  8  4 19  0  2  5  4 20  4  0 16 18 13 11  9 19 20 17 10],100,0.3,512,100,0.3
25,4,13.0,0.2614634000001388,[13  1  8  4 19  0  2  5  4 20  4  0 16 18 13 11  9 19 20 17 10],100,0.3,512,100,0.3
26,8,9.0,0.48015549999945506,[ 6  4 20  0 17  3  1 12 16 18 14  2  5 15 19 14  0  2 12 11  3],100,0.3,512,100,0.3
27,16,9.0,0.9324595999996745,[ 6  4 20  0 17  3  1 12 16 18 14  2  5 15 19 14  0  2 12 11  3],100,0.3,512,100,0.3
28,32,9.0,1.760343699999794,[ 6  4 20  0 17  3  1 12 16 18 14  2  5 15 19 14  0  2 12 11  3],100,0.3,512,100,0.3
29,64,7.0,3.4178898000000117,[13 17 16  0  5  9 18 12  2  5 19  4 14 12  3  1  8 15 18  9 11],100,0.3,512,100,0.3
30,128,6.0,7.00987029999942,[13 17  5  0  5  9 18 12  2  7 19  4 14 20  3  1  8 15 18 15 11],100,0.3,512,100,0.3
31,256,5.0,15.632190000000264,[ 1  9 12 15 19  0 17 13  4  2 19 10 14 17  3  1  8 20 18  0  7],100,0.3,512,100,0.3
32,512,4.0,31.376602100000127,[13  7  5  0  5  9 17 12  3 19 10  4 14 20  3  1  8 15 18 15 11],100,0.3,512,100,0.3
33,0,17.0,0.04325969999990775,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],100,0.4,512,100,0.4
34,1,13.0,0.09532170000056794,[13  1  8  4 19  0  2  5  4 20  4  0 16 18 13 11  9 19 20 17 10],100,0.4,512,100,0.4
35,2,12.0,0.14733109999997396,[19 15  7  3 16 12 12  5  6 18 16 19 11 17  9  0  0 20 10 17  2],100,0.4,512,100,0.4
36,4,12.0,0.25634400000035384,[19 15  7  3 16 12 12  5  6 18 16 19 11 17  9  0  0 20 10 17  2],100,0.4,512,100,0.4
37,8,11.0,0.4691493000000264,[18  9  1 19 11 16  1 12 12  2 13  3 20  6  3 11 19 17  9 14  5],100,0.4,512,100,0.4
38,16,11.0,0.8958984000000783,[18  9  1 19 11 16  1 12 12  2 13  3 20  6  3 11 19 17  9 14  5],100,0.4,512,100,0.4
39,32,10.0,1.7400747000001502,[18 15  7  0 19 17 19  5  9 11 15  8  6  1  3 19 12  9 17 10 13],100,0.4,512,100,0.4
40,64,9.0,3.557567200000449,[20 15  5  2  4 16 19 17  9  4 14  0  7 18  3 13 10 19 20 11 13],100,0.4,512,100,0.4
41,128,6.0,7.056914200000392,[20 15  5  2  4 16 19 17  9 11 14  0  7 18  1 13 10  6  3 11 13],100,0.4,512,100,0.4
42,256,4.0,14.458507600000303,[20 15  5  2  4 16 19 17  9  3 14  0  7 18  1 12 10  6 20 11 13],100,0.4,512,100,0.4
43,512,4.0,28.913821800000733,[20 15  5  2  4 16 19 17  9  3 14  0  7 18  1 12 10  6 20 11 13],100,0.4,512,100,0.4
44,0,17.0,0.09985919999962789,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],200,0.1,512,200,0.1
45,1,12.0,0.1973771000002671,[15 16  3  0 18  0 14 20 14 11 20  2  9 19 12  8 17  2 10  5  1],200,0.1,512,200,0.1
46,2,12.0,0.2989313999996739,[15 16  3  0 18  0 14 20 14 11 20  2  9 19 12  8 17  2 10  5  1],200,0.1,512,200,0.1
47,4,11.0,0.5062643000001117,[ 9 13 17  4  4  0  7 18 14  8  3 15 16 18 13 11 13 19  2 17  1],200,0.1,512,200,0.1
48,8,10.0,0.9356821000001219,[ 1  4  9 20  2  4 19  0 11 20 12 10  2  0 18 16  8 13  1 19 17],200,0.1,512,200,0.1
49,16,9.0,1.7512649999998757,[ 8  3  8 14 19 13 16 20  1  4  4  0 15 18 12 14 18  7  2 19 16],200,0.1,512,200,0.1
50,32,9.0,3.4399499000001015,[ 8  3  8 14 19 13 16 20  1  4  4  0 15 18 12 14 18  7  2 19 16],200,0.1,512,200,0.1
51,64,8.0,6.794991900000241,[15  7  7 16 20  7 14 10  8 17  1 12  6 20 18 11 11  5 11  9  4],200,0.1,512,200,0.1
52,128,8.0,13.890937899999699,[15  7  7 16 20  7 14 10  8 17  1 12  6 20 18 11 11  5 11  9  4],200,0.1,512,200,0.1
53,256,7.0,28.434962299999825,[11 15  8 16 16  2  6 14  3  0  4  7 14 17 13  0 13  5 10 12 19],200,0.1,512,200,0.1
54,512,6.0,56.59378430000015,[11 20 17  4 18 11  2 19  8 14  5 19 13  7  0  3 15  8 10 16  9],200,0.1,512,200,0.1
55,0,17.0,0.0901216000002023,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],200,0.2,512,200,0.2
56,1,12.0,0.19147940000038943,[19  9 18  8 14 12  3 11  4  4 16  5  6 17  2  0  1 18 10  5 11],200,0.2,512,200,0.2
57,2,12.0,0.28804219999983616,[19  9 18  8 14 12  3 11  4  4 16  5  6 17  2  0  1 18 10  5 11],200,0.2,512,200,0.2
58,4,11.0,0.49455070000021806,[ 4 13 20  3 11  3  7 17 19  1 15 20  4 15 20  5 16  0  4 18  7],200,0.2,512,200,0.2
59,8,11.0,0.8911946999996871,[ 4 13 20  3 11  3  7 17 19  1 15 20  4 15 20  5 16  0  4 18  7],200,0.2,512,200,0.2
60,16,11.0,1.7132654999995793,[ 4 13 20  3 11  3  7 17 19  1 15 20  4 15 20  5 16  0  4 18  7],200,0.2,512,200,0.2
61,32,9.0,3.374312799999643,[10  1 10  9 11 14  2  4 19  4  4 10 16 18 15  5  1  6 20  5 19],200,0.2,512,200,0.2
62,64,8.0,6.705033100000037,[18  3  0  5 15 17 13 17  1  6  4 19  8 16  9  2  0  7  7 15 11],200,0.2,512,200,0.2
63,128,6.0,13.242906499999663,[16  3  8 15  2 20 13  0  9  4 20 10  8 18  1 18 16  7 10 19 14],200,0.2,512,200,0.2
64,256,6.0,30.186515600000348,[16  3  8 15  2 20 13  0  9  4 20 10  8 18  1 18 16  7 10 19 14],200,0.2,512,200,0.2
65,512,5.0,59.71639520000008,[ 2 15  2 12  7  5 13 19  9  0  4  1  8  0 20 14 14 10  6 14  3],200,0.2,512,200,0.2
66,0,17.0,0.09856849999960104,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],200,0.3,512,200,0.3
67,1,12.0,0.19494899999972404,[14  0  2 13  5 17  0  5  5 20 15  4 16  9 20 17  6  2 12 14 19],200,0.3,512,200,0.3
68,2,12.0,0.30151459999979124,[14  0  2 13  5 17  0  5  5 20 15  4 16  9 20 17  6  2 12 14 19],200,0.3,512,200,0.3
69,4,12.0,0.5245881000000736,[14  0  2 13  5 17  0  5  5 20 15  4 16  9 20 17  6  2 12 14 19],200,0.3,512,200,0.3
70,8,8.0,0.9573093999997582,[ 8  1 12  4 19 14  0  5  9  7 15 13 16 20 13  2 18 13  3 16 10],200,0.3,512,200,0.3
71,16,8.0,1.814078999999765,[ 8  1 12  4 19 14  0  5  9  7 15 13 16 20 13  2 18 13  3 16 10],200,0.3,512,200,0.3
72,32,8.0,3.539363400000184,[ 8  1 12  4 19 14  0  5  9  7 15 13 16 20 13  2 18 13  3 16 10],200,0.3,512,200,0.3
73,64,8.0,7.026832499999728,[ 8  1 12  4 19 14  0  5  9  7 15 13 16 20 13  2 18 13  3 16 10],200,0.3,512,200,0.3
74,128,7.0,14.187983400000121,[18 18  8 17 20 12 16 19  2  2 19  3 13 15  9  1 16  4 17 15 10],200,0.3,512,200,0.3
75,256,6.0,27.9864819000004,[15  3 19 17 14  3  0 10  5  1  9 19 16 16 20 11  6  4  7 12  3],200,0.3,512,200,0.3
76,512,2.0,55.33660390000023,[15  8 19 13  4  6  0  5 16  1 12  3 16 18 20 11  9  2 17 14 10],200,0.3,512,200,0.3
77,0,17.0,0.10599100000035833,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],200,0.4,512,200,0.4
78,1,12.0,0.21944470000016736,[14  0  2 13  5 17  0  5  5 20 15  4 16  9 20 17  6  2 12 14 19],200,0.4,512,200,0.4
79,2,12.0,0.3212952000003497,[14  0  2 13  5 17  0  5  5 20 15  4 16  9 20 17  6  2 12 14 19],200,0.4,512,200,0.4
80,4,11.0,0.5431530000005296,[18 15  3 12 10  1 19 20  3  8 16  8 20  2  5 13 13  4  6 17 11],200,0.4,512,200,0.4
81,8,11.0,0.967270400000416,[18 15  3 12 10  1 19 20  3  8 16  8 20  2  5 13 13  4  6 17 11],200,0.4,512,200,0.4
82,16,10.0,1.9541193000004569,[ 4 13 20  7 11 11 18 18  3  8 16  5 20 14 17 20  3  6  2 19  9],200,0.4,512,200,0.4
83,32,10.0,3.640356100000645,[ 4 13 20  7 11 11 18 18  3  8 16  5 20 14 17 20  3  6  2 19  9],200,0.4,512,200,0.4
