,Iteration,Fitness,Time,State,pop_size,mutation_prob,max_iters,Population Size,Mutation Rate
0,0,2891.850390390902,0.01488080000000025,[ 0 17 15  1  8  5 11  3 18 16 13  2  9 20  4 12  7 10 14 19  6],100,0.1,512,100,0.1
1,1,2041.8888899572853,0.035444399999999376,[17 19  1  9 11 10  6 15 14  3 20 18 16  0 12  7  4  8  2  5 13],100,0.1,512,100,0.1
2,2,2041.8888899572853,0.05499039999999944,[17 19  1  9 11 10  6 15 14  3 20 18 16  0 12  7  4  8  2  5 13],100,0.1,512,100,0.1
3,4,1977.3540063527882,0.08387729999999927,[10 19 20 17  0  4  8 14  9 12  6 11 13  1 18  5  3  7 16  2 15],100,0.1,512,100,0.1
4,8,1844.0525696817492,0.15857680000000052,[18  2  6 15  8 19  3  4  7  0 16  5  9 20 11 10 17 14 12 13  1],100,0.1,512,100,0.1
5,16,1682.35394878651,0.3197486000000005,[ 4  2 10 15  5 12  6 18 16  0  7  3 14 20  8 17 11 13  1  9 19],100,0.1,512,100,0.1
6,32,1486.2984431364882,0.5947986000000007,[16  0 15  5 12 11 10  2  9 18 13  1  6  4  3  7 14 17 20 19  8],100,0.1,512,100,0.1
7,64,1416.2224246763653,1.1351987000000001,[12 16  5  0  9 18 19 11 10  6 15  2 13  1 20 17 14  4  8  3  7],100,0.1,512,100,0.1
8,128,1266.701141183658,2.1986687000000007,[ 4  2 15  0  9 18 19 20 10 11  6 13  1 12  5 16  7  3 14 17  8],100,0.1,512,100,0.1
9,256,1208.3552844442538,4.2775382,[ 4  2 15  0  9 18 19 20 11 10  6 13  1 12  5 16  7  3 14 17  8],100,0.1,512,100,0.1
10,512,1163.2406879102732,8.141276099999999,[ 4  2 15  0  9 18 19 20 11 10  6 13  1 16  5 12  7  3 14 17  8],100,0.1,512,100,0.1
11,0,2891.850390390902,0.012589699999999482,[ 0 17 15  1  8  5 11  3 18 16 13  2  9 20  4 12  7 10 14 19  6],100,0.2,512,100,0.2
12,1,2041.8888899572853,0.03164449999999874,[17 19  1  9 11 10  6 15 14  3 20 18 16  0 12  7  4  8  2  5 13],100,0.2,512,100,0.2
13,2,2041.8888899572853,0.048755299999999835,[17 19  1  9 11 10  6 15 14  3 20 18 16  0 12  7  4  8  2  5 13],100,0.2,512,100,0.2
14,4,2007.259209931755,0.08631679999999875,[17 19  1  9 11 10  6 13 14  3 20 18 16  0 12  7  4  8  2  5 15],100,0.2,512,100,0.2
15,8,1893.700378663668,0.1607012999999995,[ 0 20  6  5 13  1 15 16  7  4  3 14 10 11 19 17  8  9 18  2 12],100,0.2,512,100,0.2
16,16,1805.398623817628,0.28400669999999906,[17 19  1  9 11 10 13  6 14  3 20 18 16  0 15  2 12  5  4  8  7],100,0.2,512,100,0.2
17,32,1529.5396247149945,0.5329420999999996,[ 9 16  0 18 12  5 13  1 15  4  7  3 14 19 11 10  8 17  6 20  2],100,0.2,512,100,0.2
18,64,1353.254312022535,1.0429457999999983,[16  9  0 18 12  5 13  1 15  4  7  3 14 19 17  8 20 11  6 10  2],100,0.2,512,100,0.2
19,128,1186.1779098680136,2.052535500000001,[12  5 16  0 18  9 13  1 15  4  7  3 14 17  8 19 20  6 11 10  2],100,0.2,512,100,0.2
20,256,1128.4127003455903,4.120358700000001,[18 15 16  0 12  5  9 13  1  2  4  7  3 14 19  8 17 20 11 10  6],100,0.2,512,100,0.2
21,512,1035.8756100935318,8.2306825,[15  2 16  0 12  5  9 13  1 18  4  7  3 14 17  8 19 20 11 10  6],100,0.2,512,100,0.2
22,0,2891.850390390902,0.008647100000001018,[ 0 17 15  1  8  5 11  3 18 16 13  2  9 20  4 12  7 10 14 19  6],100,0.3,512,100,0.3
23,1,2041.8888899572853,0.02532060000000058,[17 19  1  9 11 10  6 15 14  3 20 18 16  0 12  7  4  8  2  5 13],100,0.3,512,100,0.3
24,2,2041.8888899572853,0.042176000000001324,[17 19  1  9 11 10  6 15 14  3 20 18 16  0 12  7  4  8  2  5 13],100,0.3,512,100,0.3
25,4,1826.767958468357,0.07353009999999927,[15 16  0  7  4  3 14 12 18  2  5  9  1 13 19 10  8 17 11  6 20],100,0.3,512,100,0.3
26,8,1826.767958468357,0.13654259999999852,[15 16  0  7  4  3 14 12 18  2  5  9  1 13 19 10  8 17 11  6 20],100,0.3,512,100,0.3
27,16,1703.8429242604125,0.2761889999999987,[ 9 18 11  6 13  1 15 16  0  7 17 14 20  8 10  4 19  3  5  2 12],100,0.3,512,100,0.3
28,32,1506.310702859968,0.5331425000000003,[ 8  4 15 16  0 19  7  3 12  2  5  9  1 13 18 14 20 10  6 11 17],100,0.3,512,100,0.3
29,64,1436.3217599456007,1.1776243000000015,[ 8  4 19 16  0  7  3 12 15  2  5  9  1 13 18  6 10 17 14 11 20],100,0.3,512,100,0.3
30,128,1164.4684209568193,2.2778849,[14  8  4 15  2 19  3  7 16  0 12  5  9  1 13 18  6 10 11 20 17],100,0.3,512,100,0.3
31,256,1126.4644261198803,4.486124100000001,[ 8 19  4 15  2 17 14  3  7 12  0 16  5  9  1 13 18  6 10 11 20],100,0.3,512,100,0.3
32,512,1059.3568286710242,8.777764799999996,[20 19  2 15  4  8 17 14  3  7 12  5 16  0  9  1 13 18  6 10 11],100,0.3,512,100,0.3
33,0,2891.850390390902,0.009296700000000158,[ 0 17 15  1  8  5 11  3 18 16 13  2  9 20  4 12  7 10 14 19  6],100,0.4,512,100,0.4
34,1,2041.8888899572853,0.024984799999998586,[17 19  1  9 11 10  6 15 14  3 20 18 16  0 12  7  4  8  2  5 13],100,0.4,512,100,0.4
35,2,2041.8888899572853,0.040253800000002116,[17 19  1  9 11 10  6 15 14  3 20 18 16  0 12  7  4  8  2  5 13],100,0.4,512,100,0.4
36,4,1989.799037411339,0.07373309999999833,[ 5  9  1 13 19  8 17 14 15  0  2 20 18 12 16  6  3  4 11 10  7],100,0.4,512,100,0.4
37,8,1862.4077136343942,0.13942730000000125,[15 16  0 19  4  6  7  8 14  3 12 13 10 17 20 11 18  5  9  1  2],100,0.4,512,100,0.4
38,16,1583.3253334453636,0.2735841000000008,[ 6 16  0  5  9  1 13 12  7  4  3 14  8 11 10 17 20 19 18 15  2],100,0.4,512,100,0.4
39,32,1475.6562112381514,0.5983926000000039,[12  2 15 16  0  5  9  1 18 13 10 11 17 14  7  4  3 19 20  8  6],100,0.4,512,100,0.4
40,64,1294.474467427277,1.0839101999999983,[15  6 10  2 12 16  0  5  9  1 13 18 11 14  3  7 17 20 19  8  4],100,0.4,512,100,0.4
41,128,1175.222588397923,2.4669912000000025,[15 13 16  0 12  5  9  1 18  6 10 11 17 14  3  7  8 20 19  4  2],100,0.4,512,100,0.4
42,256,982.0853015649309,4.491571900000004,[15  2  0 16 12  5  9 18 13  1  6 10 11 20 17 14  3  7  8 19  4],100,0.4,512,100,0.4
43,512,963.1708817669285,8.4659306,[15  2  0 16 12  5  9 18  1 13  6 10 11 20 17 14  3  7  8 19  4],100,0.4,512,100,0.4
44,0,2891.850390390902,0.020655800000000113,[ 0 17 15  1  8  5 11  3 18 16 13  2  9 20  4 12  7 10 14 19  6],200,0.1,512,200,0.1
45,1,2041.8888899572853,0.04934420000000017,[17 19  1  9 11 10  6 15 14  3 20 18 16  0 12  7  4  8  2  5 13],200,0.1,512,200,0.1
46,2,2013.887206825958,0.0772486999999984,[14 20 18  2  3  8  9 19 13  5 16  1  6 10 11  4 15  0 12  7 17],200,0.1,512,200,0.1
47,4,1943.078511661313,0.13191270000000088,[ 1 16  5  3  7 19  2 12  6  0 15 18  8 20 11 14 17  4  9 13 10],200,0.1,512,200,0.1
48,8,1676.021086967215,0.25528709999999677,[ 9  1  3 14 17 20 11 10  6 15  7 19 18 16  0 12  4  8  2  5 13],200,0.1,512,200,0.1
49,16,1624.3493457796792,0.5559456999999952,[ 1  9  3 14 17  7  4  8 10  6 11 19 20  5  2 18 16 15  0 12 13],200,0.1,512,200,0.1
50,32,1437.1114573109671,1.0570385999999985,[ 4 10 11 20 13  1  9 18 19 17 14  3  7  8  6 16 15  2 12  5  0],200,0.1,512,200,0.1
51,64,1297.5008174045672,2.096445899999999,[ 5  7  3 14 17 20  4  8 10  6 11 19  1 13 18  9 16 12  0 15  2],200,0.1,512,200,0.1
52,128,1112.8599034177273,4.056629999999998,[ 5  7  3 14 17 20  4  8 19 10 11  6 18 13  1  9 16 15  2  0 12],200,0.1,512,200,0.1
53,256,1040.497737258038,7.945068199999994,[ 5  2 15  7  3 14 17 20  4  8 19 11 10  6 18 13  1  9 16  0 12],200,0.1,512,200,0.1
54,512,960.155855730877,15.7615373,[12  2 15  7  3 14 17  8  4 19 20 11 10  6 18 13  1  9 16  0  5],200,0.1,512,200,0.1
55,0,2891.850390390902,0.01918630000000121,[ 0 17 15  1  8  5 11  3 18 16 13  2  9 20  4 12  7 10 14 19  6],200,0.2,512,200,0.2
56,1,1912.4619026743715,0.051508900000001745,[ 1  6 13  9 16  5  3  7  4  2 11 20 15  8 19 10 17 14 18  0 12],200,0.2,512,200,0.2
57,2,1912.4619026743715,0.08307820000000277,[ 1  6 13  9 16  5  3  7  4  2 11 20 15  8 19 10 17 14 18  0 12],200,0.2,512,200,0.2
58,4,1896.6386700378546,0.15579180000000292,[ 2 13  1 19  8 15  0  6 20 12  7  3  4 11 10 17 14 18 16  9  5],200,0.2,512,200,0.2
59,8,1786.5265900449738,0.2797529999999995,[15  9  1  6 13 16  5  3  7  4  2 11 20  8 19 10 17 14 18  0 12],200,0.2,512,200,0.2
60,16,1673.01961111364,0.5072629000000006,[12  5 16  9 15  0  1  4  3 14 17  7 18  2 13  6 11 10 20  8 19],200,0.2,512,200,0.2
61,32,1511.6228976248328,0.9557704999999999,[12  5 16  9 18 15  0 13  1 19 20 14 17 10 11  6  3  4  8  7  2],200,0.2,512,200,0.2
62,64,1236.9570952683105,1.861797800000005,[15  2 12  5 16  9 18 13  1  6 11 10 20 14  8 17 19  3  7  4  0],200,0.2,512,200,0.2
63,128,1084.1069702667498,3.8822351000000026,[15  2 12  5 16  9  0  1 13 18  6 11 10 20 14  3  7 17  8 19  4],200,0.2,512,200,0.2
64,256,1015.8804380668453,7.974037799999998,[15  2  5 12 16  9  0 18 13  1  6 10 11 20 17 14  3  7  8 19  4],200,0.2,512,200,0.2
65,512,932.9519891036086,15.457198999999996,[15  2 12  5 16  0  9  1 13 18  6 10 11 20 17 14  3  7  8 19  4],200,0.2,512,200,0.2
66,0,2891.850390390902,0.01910289999999293,[ 0 17 15  1  8  5 11  3 18 16 13  2  9 20  4 12  7 10 14 19  6],200,0.3,512,200,0.3
67,1,1912.4619026743715,0.04659669999999494,[ 1  6 13  9 16  5  3  7  4  2 11 20 15  8 19 10 17 14 18  0 12],200,0.3,512,200,0.3
68,2,1912.4619026743715,0.07402229999999577,[ 1  6 13  9 16  5  3  7  4  2 11 20 15  8 19 10 17 14 18  0 12],200,0.3,512,200,0.3
69,4,1866.9862902992704,0.12811479999999165,[ 3  2  9  1  6  8 15 13 16  5 12 18 10 11  0  4  7 14 20 19 17],200,0.3,512,200,0.3
70,8,1669.527308826661,0.24422959999999705,[20  8  7 14  4  2 18 16  9 17  3  5  0 13  1 12 15  6 10 11 19],200,0.3,512,200,0.3
71,16,1560.5910867017778,0.5682470999999936,[ 4  3  7 18 13  5 16 15  1  9  0  2 12 14 19 20  6 10 11 17  8],200,0.3,512,200,0.3
72,32,1436.1352205563355,1.127669400000002,[15 18  2  0  9  1 13  7  3  4  5 16 12 19  6 10 11 20 17 14  8],200,0.3,512,200,0.3
73,64,1172.4599379366628,2.0646996999999914,[ 3  7 19  4 18 16  5 15 12  2  0  9  1 13  6 10 11 20 17 14  8],200,0.3,512,200,0.3
74,128,1112.0266736209962,4.02093889999999,[ 3  7  2 15 18 13  1  9 16  5 12  0  4 19 11 10  6 20 17  8 14],200,0.3,512,200,0.3
75,256,1009.9619849272325,7.617058700000001,[14  3  7 19  4  2 15 12  5  0 16  9 18  1 13  6 10 11 20  8 17],200,0.3,512,200,0.3
76,512,952.4217378173561,15.68022649999999,[14  3  7  8 19  4 15  2 12  5  0 16  9 18  1 13  6 10 11 20 17],200,0.3,512,200,0.3
77,0,2891.850390390902,0.017170499999991762,[ 0 17 15  1  8  5 11  3 18 16 13  2  9 20  4 12  7 10 14 19  6],200,0.4,512,200,0.4
78,1,1912.4619026743715,0.045627499999994825,[ 1  6 13  9 16  5  3  7  4  2 11 20 15  8 19 10 17 14 18  0 12],200,0.4,512,200,0.4
79,2,1912.4619026743715,0.07349399999999662,[ 1  6 13  9 16  5  3  7  4  2 11 20 15  8 19 10 17 14 18  0 12],200,0.4,512,200,0.4
80,4,1912.4619026743715,0.1298989000000006,[ 1  6 13  9 16  5  3  7  4  2 11 20 15  8 19 10 17 14 18  0 12],200,0.4,512,200,0.4
81,8,1739.0845903429633,0.24749019999998723,[18  2  0  9  1 15  4  3  7 16 12  5  6 19 20 14 17 11 10 13  8],200,0.4,512,200,0.4
82,16,1666.8164174007552,0.48757589999999595,[18 13  7  3 14 17  8 20  0  4 19 11 10  1  6  9 12  2  5 16 15],200,0.4,512,200,0.4
83,32,1279.8353737433774,0.94308079999999,[18  2  0 12  9 16  5  1 15  4  3  7 17 14  8 19 20 11 10  6 13],200,0.4,512,200,0.4
84,64,1179.5678656346977,2.030673499999992,[18  2  0  9  1 13 15 16  5 12  4  3  7 17 14  8 19 20 11 10  6],200,0.4,512,200,0.4
85,128,1038.8744071019778,4.4173404000000005,[18 13  1  9 16  0  5 12  2 15  4 20 14  3  7 17  8 19 11 10  6],200,0.4,512,200,0.4
86,256,966.5218824430212,8.676175199999989,[18 13  1  9  0 16  5 12  2 15  4  8  7  3 14 17 19 20 11 10  6],200,0.4,512,200,0.4
87,512,966.5218824430212,17.10560489999999,[18 13  1  9  0 16  5 12  2 15  4  8  7  3 14 17 19 20 11 10  6],200,0.4,512,200,0.4
88,0,2891.850390390902,0.02708300000000463,[ 0 17 15  1  8  5 11  3 18 16 13  2  9 20  4 12  7 10 14 19  6],300,0.1,512,300,0.1
89,1,1978.4804794466809,0.07388389999999845,[ 9 12 11  6 13  1  4  3 17  8 19 14 20  5 18 16  0  7 10 15  2],300,0.1,512,300,0.1
