,Iteration,Fitness,Time,State,pop_size,keep_pct,max_iters,Population Size,Keep Percent
0,0,11.0,0.0006565000003320165,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],100,0.2,512,100,0.2
1,1,18.0,0.15187109999988024,[0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.2,512,100,0.2
2,2,20.0,0.2908032000004823,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.2,512,100,0.2
3,4,20.0,0.2908032000004823,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.2,512,100,0.2
4,8,20.0,0.2908032000004823,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.2,512,100,0.2
5,16,20.0,0.2908032000004823,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.2,512,100,0.2
6,32,20.0,0.2908032000004823,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.2,512,100,0.2
7,64,20.0,0.2908032000004823,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.2,512,100,0.2
8,128,20.0,0.2908032000004823,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.2,512,100,0.2
9,256,20.0,0.2908032000004823,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.2,512,100,0.2
10,512,20.0,0.2908032000004823,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.2,512,100,0.2
11,0,11.0,0.0006194999996296247,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],100,0.4,512,100,0.4
12,1,15.0,0.13730610000038723,[1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.4,512,100,0.4
13,2,18.0,0.28033770000001823,[1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.4,512,100,0.4
14,4,18.0,0.5483696000001146,[1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.4,512,100,0.4
15,8,19.0,1.1677952000000005,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],100,0.4,512,100,0.4
16,16,19.0,2.3694925999998304,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],100,0.4,512,100,0.4
17,32,19.0,4.636776600000303,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],100,0.4,512,100,0.4
18,64,19.0,9.400501899999654,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],100,0.4,512,100,0.4
19,128,19.0,18.885951000000205,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],100,0.4,512,100,0.4
20,256,19.0,36.574074799999835,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],100,0.4,512,100,0.4
