,Iteration,Fitness,Time,State,current_restart,max_iters,Restarts
0,0,11.0,0.00023860000055719865,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],0,512,5
1,1,11.0,0.0010271999999531545,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],0,512,5
2,2,11.0,0.001554000000396627,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],0,512,5
3,4,13.0,0.0057461000005787355,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],0,512,5
4,8,13.0,0.008039999999709835,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],0,512,5
5,16,13.0,0.010345800000322924,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],0,512,5
6,32,17.0,0.013796500000353262,[0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1],0,512,5
7,64,19.0,0.01782999999977619,[0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1],0,512,5
8,128,19.0,0.023234700000102748,[0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1],0,512,5
9,256,19.0,0.03494180000052438,[0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1],0,512,5
10,512,19.0,0.05987569999979314,[0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1],0,512,5
11,0,14.0,0.06114570000045205,[0 1 0 1 1 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0],1,512,5
12,1,16.0,0.062290800000482704,[0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0],1,512,5
13,2,16.0,0.06256579999990208,[0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0],1,512,5
14,4,16.0,0.06287590000010823,[0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0],1,512,5
15,8,16.0,0.06331750000026659,[0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0],1,512,5
16,16,16.0,0.06497080000008282,[0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0],1,512,5
17,32,16.0,0.06647820000034699,[0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0],1,512,5
18,64,17.0,0.06933490000028542,[0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 1],1,512,5
19,128,17.0,0.07495000000017171,[0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 1],1,512,5
20,256,17.0,0.0853121000000101,[0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 1],1,512,5
21,512,17.0,0.10915800000020681,[0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 1],1,512,5
22,0,10.0,0.1105532999999923,[1 0 0 1 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 1],2,512,5
23,1,12.0,0.11227430000053573,[1 0 0 1 0 0 1 1 0 0 1 1 0 1 0 0 0 1 0 1 1],2,512,5
24,2,13.0,0.11330980000002455,[1 0 0 1 0 0 1 1 0 0 1 1 0 1 0 0 0 1 0 1 0],2,512,5
25,4,13.0,0.11366460000044754,[1 0 0 1 0 0 1 1 0 0 1 1 0 1 0 0 0 1 0 1 0],2,512,5
26,8,13.0,0.11412689999997383,[1 0 0 1 0 0 1 1 0 0 1 1 0 1 0 0 0 1 0 1 0],2,512,5
27,16,13.0,0.11508539999977074,[1 0 0 1 0 0 1 1 0 0 1 1 0 1 0 0 0 1 0 1 0],2,512,5
28,32,15.0,0.11677310000050056,[1 0 0 1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0],2,512,5
29,64,15.0,0.11975960000017949,[1 0 0 1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0],2,512,5
30,128,15.0,0.12496790000022884,[1 0 0 1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0],2,512,5
