,Iteration,Fitness,Time,State,current_restart,max_iters,Restarts
0,0,17.0,0.0020646000002670917,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],0,512,5
1,1,17.0,0.004975800000465824,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],0,512,5
2,2,17.0,0.007606099999975413,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],0,512,5
3,4,16.0,0.013059400000202004,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 18  1 11  5  1 20  0],0,512,5
4,8,16.0,0.018322700000680925,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 18  1 11  5  1 20  0],0,512,5
5,16,16.0,0.030730500000572647,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 18  1 11  5  1 20  0],0,512,5
6,32,12.0,0.05500130000018544,[ 6 19 14 10  7 20  6 18 10  3 20  3  7  2 12  1 11  5  1 20 16],0,512,5
7,64,9.0,0.07866630000080477,[ 4 19 14 10  7 20  6 18 10  3 20  3  7  2 12  1 11  5 17 20 16],0,512,5
8,128,6.0,0.12611650000053487,[ 4 19 14 10  7 20  6  0 10  3 20  3  9  2 12  1 11  5 17 20 16],0,512,5
9,256,4.0,0.23689720000038506,[ 4 19  8 10  7 14  6  0 10  3 20  3  9  2 12  1 11  5 17 20 16],0,512,5
10,512,2.0,0.4724374000006719,[ 4 19  8 10  7 14  6  0 10 20 15  3  9  2 12  1 11  5 17 20 16],0,512,5
11,0,19.0,0.4749967000007018,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,5
12,1,19.0,0.4772273000007772,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,5
13,2,19.0,0.4792905000003884,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,5
14,4,19.0,0.4813246000003346,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,5
15,8,19.0,0.48566810000011174,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,5
16,16,16.0,0.4940769000004366,[17 20 16  6 16 19  8 16 19 10 16  6  0 12  4 18 16 12 15  7 18],1,512,5
17,32,9.0,0.5150773000004847,[17 20 13  6 16 19  8  1 19 10 16  6  0 12  4 19 16 12 15 11 18],1,512,5
18,64,8.0,0.539286400000492,[17 20 13  6 16 19  8  1 19 10 16 17  0 12  4 19 16 12 15 11 18],1,512,5
19,128,6.0,0.5870053000007829,[17 20 13  6 16 19  8  1 18 10  1 17  0 12  4 19 16 12 15 11 18],1,512,5
20,256,6.0,0.6884863000004771,[17 20 13  6 16 19  8  1 18 10  1 17  0 12  4 19 16 12 15 11 18],1,512,5
21,512,2.0,0.8449847000001682,[ 5 20 13  6 16 19  8  1 18 10  3 17  0  9  4 19 16 12 15 11  7],1,512,5
22,0,20.0,0.847057500000119,[ 0 20 15 11  5 19  1 13  3  0 17 12  1  8 20  1  8  0 10  2 19],2,512,5
23,1,20.0,0.8483224999999948,[ 0 20 15 11  5 19  1 13  3  0 17 12  1  8 20  1  8  0 10  2 19],2,512,5
24,2,20.0,0.8493340000004537,[ 0 20 15 11  5 19  1 13  3  0 17 12  1  8 20  1  8  0 10  2 19],2,512,5
25,4,20.0,0.8509008000000904,[ 0 20 15 11  5 19  1 13  3  0 17 12  1  8 20  1  8  0 10  2 19],2,512,5
26,8,15.0,0.8547128000000157,[ 0 20 15 11  5 19  1 13  3  6 17 12  1  8 16  1  8 13 10  2 19],2,512,5
27,16,11.0,0.8599180999999589,[ 0 20 15 11  5 19  1 13  3  6 17 12  1  9 16  1  8 13 10  2 19],2,512,5
28,32,10.0,0.8688842000001387,[ 0 20 15 11  5 19  1 13  3  6 17 12  1  9 16  1  8  5 10  2 19],2,512,5
29,64,8.0,0.888900900000408,[ 0 20 15 11  5 19  1 13  3  6 17 12  1  9 16  1  4 15 10  2 19],2,512,5
30,128,5.0,0.936292900000808,[ 0 20 15 11  5 14  1 13  3  6 17 12  1  9 16 18  4  8 10  2 19],2,512,5
31,256,4.0,1.0074749000004886,[ 0 20 15 11  5 14 10 13  3  6 17 12  1  9 16 18  4  8 10  2 19],2,512,5
32,512,4.0,1.14158850000058,[ 0 20 15 11  5 14 10 13  3  6 17 12  1  9 16 18  4  8 10  2 19],2,512,5
33,0,20.0,1.143670800000109,[ 4 16  4  3 18 20  1 10 12 14 11 20 10  6  4 16 19  8 13 11  5],3,512,5
