,Iteration,Fitness,Time,State,current_restart,max_iters,Restarts
0,0,2891.850390390902,0.0004821999999999882,[ 0 17 15  1  8  5 11  3 18 16 13  2  9 20  4 12  7 10 14 19  6],0,512,5
1,1,2871.1186853399136,0.0019325000000001147,[ 0 17 15  1  8  5 11  3 18 16 13  2  9  6  4 12  7 10 14 19 20],0,512,5
2,2,2644.163766694067,0.0030114999999999448,[ 0 17 15  1  8  7 11  3 18 16 13  2  9  6  4 12  5 10 14 19 20],0,512,5
3,4,2557.18353690891,0.003985399999999917,[ 0  7  8  1 15 17 11  3 18 16 13  2  9  6  4 12  5 10 14 19 20],0,512,5
4,8,2465.214468551349,0.006373299999999915,[18  7  8  1 15  6 11  3  0 16 13  2  9 17  4 12  5 10 14 19 20],0,512,5
5,16,2415.8045614291946,0.007909600000000072,[18  7  8  1 15  6 11  3  0 16 13  2  4  5  9 12 17 10 14 19 20],0,512,5
6,32,2191.2441219436805,0.012779800000000119,[18  7  5 12  2  6 17  1  0 16 13 15  4  8  9 10 11 19 14  3 20],0,512,5
7,64,1795.572993296594,0.02209360000000027,[17  7  5 12  2  4 16  8 15 18  6  0 13  1  9 10 11 19 14  3 20],0,512,5
8,128,1500.6208347838797,0.03475740000000016,[17  7  5 12  2 16  4  8 15  6 18  0  9  1 13 10 11 20 14  3 19],0,512,5
9,256,1187.6034008970958,0.056372099999999925,[ 3  7  5 12  2 15  4 19  6 18 16  0  9  1 13 10 11 20 14 17  8],0,512,5
10,512,1147.9984922439198,0.1001196000000002,[ 3  7  5 12  2 15  4 19  6 18  0 16  9  1 13 10 11 20  8 17 14],0,512,5
11,0,2694.977946758127,0.10223320000000014,[ 7  5 18  0  3 10 16  1  2 13  4 20 17 12 15 19  8  6 14  9 11],1,512,5
12,1,2681.916556458177,0.10319150000000032,[ 7  5 18 15  3 10 16  1  2 13  4 20 17 12  0 19  8  6 14  9 11],1,512,5
13,2,2681.916556458177,0.10360689999999995,[ 7  5 18 15  3 10 16  1  2 13  4 20 17 12  0 19  8  6 14  9 11],1,512,5
14,4,2409.0941653457385,0.10411660000000023,[ 9  5 18 15  3 10 16  4  2 13  1 20 17 12  0 19  8  6 14  7 11],1,512,5
15,8,2353.5114009035506,0.10482469999999999,[ 9  5 18 15  3 10 16  4  2 13  1 20 17 12  0 19  8  6 11  7 14],1,512,5
16,16,2184.3798921043604,0.10630000000000006,[ 9  5 18 15  3 10 19  4  2 13  1 20 17 12  0 16  8  6 11  7 14],1,512,5
17,32,2040.3670039481356,0.10892610000000014,[ 9  5 12 15  3 20 19  4  2  1 13 10 17 18  0 16  8  6 11  7 14],1,512,5
18,64,1865.847414152238,0.11526170000000002,[ 9  5 12 15  7 17 19  4  2  1 13 10 20 18  0 16 11  6  8  3 14],1,512,5
19,128,1570.1761795598534,0.1257583000000002,[16  5 12 14  8 17 19  4  2  1 13 10  6 15  0  9 18 11 20  3  7],1,512,5
20,256,1380.1029996347258,0.14963380000000015,[ 2  5 12 14 17  8 19  0 16  1 13 18  9 15  4  6 10 11 20  3  7],1,512,5
21,512,1318.6397922403787,0.1915024999999999,[ 5 12  2 14 17  8  4 16  9  1 13 18  0 15 19  6 10 11 20  3  7],1,512,5
22,0,2702.793551737397,0.19523780000000013,[11 15 18 20  2  5 19 14  3  6 12 13  7  4  9  8 10  0  1 16 17],2,512,5
23,1,2702.793551737397,0.19582860000000002,[11 15 18 20  2  5 19 14  3  6 12 13  7  4  9  8 10  0  1 16 17],2,512,5
24,2,2686.6244035155305,0.19633560000000028,[11 15 18 20  2  5 19 14  9  6 12 13  7  4  3  8 10  0  1 16 17],2,512,5
25,4,2686.6244035155305,0.19698470000000023,[11 15 18 20  2  5 19 14  9  6 12 13  7  4  3  8 10  0  1 16 17],2,512,5
26,8,2560.3372791995266,0.19951870000000005,[11 15 18 20 17  8 19 14  9  6 12 13  7  4  3  5 10  0  1 16  2],2,512,5
27,16,2286.589485710688,0.20287180000000005,[11 14 18 20 17  8 19 15  9  6 12 10  7  3  4  5 13  0  1 16  2],2,512,5
28,32,2044.5410105167857,0.20544610000000008,[11 19 18 20 17  8 14 15  9  2 12  6  7  3  4  5 13  0  1 16 10],2,512,5
29,64,1620.775179426252,0.20995760000000008,[11 19  4 20 17  8  0 15  5  2 12  6 14  3  7 16 13  1 18  9 10],2,512,5
30,128,1444.2576251531636,0.2264883000000002,[11 17 14 20 19  4 15  0  5 12 16  6  8  3  7  2 13  1 18  9 10],2,512,5
31,256,1276.9499916577083,0.2525036000000003,[11 20 14 17  8  4  2  0 12  5 18  6 19  3  7 15 16  9  1 13 10],2,512,5
32,512,1270.4496014377346,0.29763090000000014,[11 20 14 17  8  4  2 15 12  5 18  6 19  3  7  0 16  9  1 13 10],2,512,5
33,0,2521.6948633186585,0.2999526000000001,[ 6  9  2  0  5 10 12 18 15 13  3 11  4 14 19  7  8 16 17 20  1],3,512,5
34,1,2521.6948633186585,0.30095589999999994,[ 6  9  2  0  5 10 12 18 15 13  3 11  4 14 19  7  8 16 17 20  1],3,512,5
35,2,2521.6948633186585,0.3014695999999999,[ 6  9  2  0  5 10 12 18 15 13  3 11  4 14 19  7  8 16 17 20  1],3,512,5
36,4,2491.8545601931974,0.3030196000000003,[ 3  9  2  0  5 10 12 18 15 13  6 11  4 14 19  7  8 16 17 20  1],3,512,5
37,8,2092.121373257761,0.30420420000000004,[18  9  2  0  5 12 10  3 15 13  6 11  4 19 14  7  8 16 17 20  1],3,512,5
38,16,1860.862030010941,0.3057563000000001,[18  9  2  0  5 12  7  3  1 13  6 11  4 19 10 14  8 16 17 20 15],3,512,5
39,32,1759.337056643051,0.3093826000000002,[18  9  2  0  5 16 12  3  1 13  6 11  4 19 10 14 17  8  7 20 15],3,512,5
40,64,1464.4304705017641,0.3166279000000003,[18  9  2  5  0 16 12 15  1 13  6 11  4 19 10 14 17 20  8  7  3],3,512,5
41,128,1352.1394651251203,0.32639869999999993,[12  2  5 16  0  9 18 15  1 13  6 11 20 19 10 17 14  4  8  7  3],3,512,5
42,256,1274.4072858165594,0.3499015000000001,[12  0  5  9 16  2 15 18  1 13 10 11 20 19  6 17 14  4  8  3  7],3,512,5
43,512,1109.399739578423,0.39807700000000024,[12  5 16  9  0  2 15 18  1 13 10 11  6 20 19  4  8 17 14  3  7],3,512,5
44,0,3010.251890700472,0.4014656000000003,[ 5 15 19  0  8 16  1 17 11 18  3 12 20  7  6 14  2 10  9 13  4],4,512,5
45,1,2893.6085739838963,0.4022528000000003,[ 5 15 19  0  8 16  1 13 11 18  3 12 20  7  6 14  2 10  9 17  4],4,512,5
46,2,2893.6085739838963,0.4027843,[ 5 15 19  0  8 16  1 13 11 18  3 12 20  7  6 14  2 10  9 17  4],4,512,5
47,4,2716.0360128347256,0.4036656999999999,[ 5 15 16  0  8 19  1 13 11 18  3 12 20  7  6 14  2 10  9 17  4],4,512,5
48,8,2508.599538145785,0.4045065000000001,[ 5 15 16  0  8  9  1 13 11 18  3 12 20  7  6 14  2 10 19 17  4],4,512,5
49,16,2214.695860360028,0.4057774000000003,[ 5 12 16  0  8  9  1 13 11 18 15  3 20  7  6 14  2 10 19 17  4],4,512,5
50,32,1939.4110158179658,0.40877680000000005,[ 5 12 16  0 18  9  1 13 19  8 15  3 20  7  6 14  2 10 11 17  4],4,512,5
51,64,1647.370403522397,0.416604,[ 5 12 16  0 18  9  1 13 19 20 15  2  7  8  4 14  3 10 11 17  6],4,512,5
52,128,1509.8283585646209,0.4283406000000003,[12  5 16  0  9 18  1 13 19 17 14  2  6  8  4  7  3 10 11 20 15],4,512,5
53,256,1394.9982893901854,0.44841560000000014,[12  5 16  0  9 13  1 18 19 17  4 15  2  8 14  3  7 10 11 20  6],4,512,5
54,512,1219.7255568000821,0.4880291000000003,[12  5 16  0  9 13  1 18 19 17  8 15  2  4  7  3 14 20 11 10  6],4,512,5
55,0,2723.7167778713315,0.48936329999999995,[15  0 16  1 14  6 13  4 11 18  7  5 20  2 19  8 12 10 17  3  9],5,512,5
56,1,2723.7167778713315,0.48965440000000005,[15  0 16  1 14  6 13  4 11 18  7  5 20  2 19  8 12 10 17  3  9],5,512,5
57,2,2429.340730800858,0.4899871,[15  0 16  1  9  6 13  4 11 18  7  5 20  2 19  8 12 10 17  3 14],5,512,5
58,4,2210.431084007832,0.4904402000000001,[15  0 16  1  9  6 13  4 11 18  2  5 20  7 19  8 12 10 17  3 14],5,512,5
59,8,2210.431084007832,0.4912903000000002,[15  0 16  1  9  6 13  4 11 18  2  5 20  7 19  8 12 10 17  3 14],5,512,5
60,16,2081.4875217113085,0.4926056999999999,[20  0 16  9  1  6 13  4 11 18  2  5 15  7 19  8 12 10 17  3 14],5,512,5
61,32,1945.3767700146375,0.495533,[20  0 16  9  1  4 13 10  6 18  2  5 15 19  7  3 12 11 17  8 14],5,512,5
62,64,1836.129098083037,0.49994190000000005,[ 8  0 16  9  1  4 13 10  6 18  2  5 15 19  7  3 12 11 20 17 14],5,512,5
63,128,1712.6975975450728,0.5103739000000003,[ 8  0 16  9  1 11 10 18  6 13  2  5 12 19 15  3  7  4 20 17 14],5,512,5
64,256,1410.5121045899464,0.5286884999999999,[ 8  0 16 15 13 10 11  6 18  1  9  5 12  2  3  7 19  4 20 14 17],5,512,5
65,512,1335.25740047022,0.5653709,[20 15 16  0  6 11 10 13 18  1  9  5 12  2  7  3 19  4  8 17 14],5,512,5
66,0,2891.850390390902,0.00011840000000029605,[ 0 17 15  1  8  5 11  3 18 16 13  2  9 20  4 12  7 10 14 19  6],0,512,10
67,1,2871.1186853399136,0.00044490000000019236,[ 0 17 15  1  8  5 11  3 18 16 13  2  9  6  4 12  7 10 14 19 20],0,512,10
68,2,2644.163766694067,0.0007773000000002028,[ 0 17 15  1  8  7 11  3 18 16 13  2  9  6  4 12  5 10 14 19 20],0,512,10
69,4,2557.18353690891,0.0013010000000002186,[ 0  7  8  1 15 17 11  3 18 16 13  2  9  6  4 12  5 10 14 19 20],0,512,10
70,8,2465.214468551349,0.0021941000000000876,[18  7  8  1 15  6 11  3  0 16 13  2  9 17  4 12  5 10 14 19 20],0,512,10
71,16,2415.8045614291946,0.0034125000000000405,[18  7  8  1 15  6 11  3  0 16 13  2  4  5  9 12 17 10 14 19 20],0,512,10
72,32,2191.2441219436805,0.006123400000000334,[18  7  5 12  2  6 17  1  0 16 13 15  4  8  9 10 11 19 14  3 20],0,512,10
73,64,1795.572993296594,0.012364500000000334,[17  7  5 12  2  4 16  8 15 18  6  0 13  1  9 10 11 19 14  3 20],0,512,10
74,128,1500.6208347838797,0.021602099999999957,[17  7  5 12  2 16  4  8 15  6 18  0  9  1 13 10 11 20 14  3 19],0,512,10
75,256,1187.6034008970958,0.03920030000000008,[ 3  7  5 12  2 15  4 19  6 18 16  0  9  1 13 10 11 20 14 17  8],0,512,10
76,512,1147.9984922439198,0.07702460000000011,[ 3  7  5 12  2 15  4 19  6 18  0 16  9  1 13 10 11 20  8 17 14],0,512,10
77,0,2694.977946758127,0.07842530000000014,[ 7  5 18  0  3 10 16  1  2 13  4 20 17 12 15 19  8  6 14  9 11],1,512,10
78,1,2681.916556458177,0.07893760000000016,[ 7  5 18 15  3 10 16  1  2 13  4 20 17 12  0 19  8  6 14  9 11],1,512,10
79,2,2681.916556458177,0.07924299999999995,[ 7  5 18 15  3 10 16  1  2 13  4 20 17 12  0 19  8  6 14  9 11],1,512,10
80,4,2409.0941653457385,0.07977600000000029,[ 9  5 18 15  3 10 16  4  2 13  1 20 17 12  0 19  8  6 14  7 11],1,512,10
81,8,2353.5114009035506,0.08055659999999998,[ 9  5 18 15  3 10 16  4  2 13  1 20 17 12  0 19  8  6 11  7 14],1,512,10
82,16,2184.3798921043604,0.08176439999999996,[ 9  5 18 15  3 10 19  4  2 13  1 20 17 12  0 16  8  6 11  7 14],1,512,10
83,32,2040.3670039481356,0.08428910000000034,[ 9  5 12 15  3 20 19  4  2  1 13 10 17 18  0 16  8  6 11  7 14],1,512,10
84,64,1865.847414152238,0.08870270000000025,[ 9  5 12 15  7 17 19  4  2  1 13 10 20 18  0 16 11  6  8  3 14],1,512,10
85,128,1570.1761795598534,0.1017718000000003,[16  5 12 14  8 17 19  4  2  1 13 10  6 15  0  9 18 11 20  3  7],1,512,10
86,256,1380.1029996347258,0.12669710000000034,[ 2  5 12 14 17  8 19  0 16  1 13 18  9 15  4  6 10 11 20  3  7],1,512,10
87,512,1318.6397922403787,0.17599580000000037,[ 5 12  2 14 17  8  4 16  9  1 13 18  0 15 19  6 10 11 20  3  7],1,512,10
88,0,2702.793551737397,0.17848710000000034,[11 15 18 20  2  5 19 14  3  6 12 13  7  4  9  8 10  0  1 16 17],2,512,10
89,1,2702.793551737397,0.17946370000000034,[11 15 18 20  2  5 19 14  3  6 12 13  7  4  9  8 10  0  1 16 17],2,512,10
90,2,2686.6244035155305,0.18032290000000017,[11 15 18 20  2  5 19 14  9  6 12 13  7  4  3  8 10  0  1 16 17],2,512,10
91,4,2686.6244035155305,0.18100020000000017,[11 15 18 20  2  5 19 14  9  6 12 13  7  4  3  8 10  0  1 16 17],2,512,10
92,8,2560.3372791995266,0.18300040000000006,[11 15 18 20 17  8 19 14  9  6 12 13  7  4  3  5 10  0  1 16  2],2,512,10
93,16,2286.589485710688,0.18670600000000004,[11 14 18 20 17  8 19 15  9  6 12 10  7  3  4  5 13  0  1 16  2],2,512,10
94,32,2044.5410105167857,0.18942340000000035,[11 19 18 20 17  8 14 15  9  2 12  6  7  3  4  5 13  0  1 16 10],2,512,10
95,64,1620.775179426252,0.19521010000000016,[11 19  4 20 17  8  0 15  5  2 12  6 14  3  7 16 13  1 18  9 10],2,512,10
96,128,1444.2576251531636,0.20687000000000033,[11 17 14 20 19  4 15  0  5 12 16  6  8  3  7  2 13  1 18  9 10],2,512,10
97,256,1276.9499916577083,0.23048660000000032,[11 20 14 17  8  4  2  0 12  5 18  6 19  3  7 15 16  9  1 13 10],2,512,10
98,512,1270.4496014377346,0.27438220000000024,[11 20 14 17  8  4  2 15 12  5 18  6 19  3  7  0 16  9  1 13 10],2,512,10
99,0,2521.6948633186585,0.27605650000000015,[ 6  9  2  0  5 10 12 18 15 13  3 11  4 14 19  7  8 16 17 20  1],3,512,10
100,1,2521.6948633186585,0.27660989999999996,[ 6  9  2  0  5 10 12 18 15 13  3 11  4 14 19  7  8 16 17 20  1],3,512,10
101,2,2521.6948633186585,0.27708660000000007,[ 6  9  2  0  5 10 12 18 15 13  3 11  4 14 19  7  8 16 17 20  1],3,512,10
102,4,2491.8545601931974,0.278324,[ 3  9  2  0  5 10 12 18 15 13  6 11  4 14 19  7  8 16 17 20  1],3,512,10
103,8,2092.121373257761,0.28062030000000027,[18  9  2  0  5 12 10  3 15 13  6 11  4 19 14  7  8 16 17 20  1],3,512,10
104,16,1860.862030010941,0.2830401,[18  9  2  0  5 12  7  3  1 13  6 11  4 19 10 14  8 16 17 20 15],3,512,10
105,32,1759.337056643051,0.28673850000000023,[18  9  2  0  5 16 12  3  1 13  6 11  4 19 10 14 17  8  7 20 15],3,512,10
106,64,1464.4304705017641,0.2966070000000003,[18  9  2  5  0 16 12 15  1 13  6 11  4 19 10 14 17 20  8  7  3],3,512,10
107,128,1352.1394651251203,0.3085966,[12  2  5 16  0  9 18 15  1 13  6 11 20 19 10 17 14  4  8  7  3],3,512,10
108,256,1274.4072858165594,0.3326671000000001,[12  0  5  9 16  2 15 18  1 13 10 11 20 19  6 17 14  4  8  3  7],3,512,10
109,512,1109.399739578423,0.37050230000000006,[12  5 16  9  0  2 15 18  1 13 10 11  6 20 19  4  8 17 14  3  7],3,512,10
110,0,3010.251890700472,0.37193030000000027,[ 5 15 19  0  8 16  1 17 11 18  3 12 20  7  6 14  2 10  9 13  4],4,512,10
111,1,2893.6085739838963,0.3724350000000003,[ 5 15 19  0  8 16  1 13 11 18  3 12 20  7  6 14  2 10  9 17  4],4,512,10
112,2,2893.6085739838963,0.37274090000000015,[ 5 15 19  0  8 16  1 13 11 18  3 12 20  7  6 14  2 10  9 17  4],4,512,10
113,4,2716.0360128347256,0.3732221,[ 5 15 16  0  8 19  1 13 11 18  3 12 20  7  6 14  2 10  9 17  4],4,512,10
114,8,2508.599538145785,0.37411720000000015,[ 5 15 16  0  8  9  1 13 11 18  3 12 20  7  6 14  2 10 19 17  4],4,512,10
115,16,2214.695860360028,0.37543820000000006,[ 5 12 16  0  8  9  1 13 11 18 15  3 20  7  6 14  2 10 19 17  4],4,512,10
116,32,1939.4110158179658,0.37797349999999996,[ 5 12 16  0 18  9  1 13 19  8 15  3 20  7  6 14  2 10 11 17  4],4,512,10
117,64,1647.370403522397,0.3826759000000002,[ 5 12 16  0 18  9  1 13 19 20 15  2  7  8  4 14  3 10 11 17  6],4,512,10
118,128,1509.8283585646209,0.39128700000000016,[12  5 16  0  9 18  1 13 19 17 14  2  6  8  4  7  3 10 11 20 15],4,512,10
119,256,1394.9982893901854,0.40902170000000027,[12  5 16  0  9 13  1 18 19 17  4 15  2  8 14  3  7 10 11 20  6],4,512,10
120,512,1219.7255568000821,0.45108689999999996,[12  5 16  0  9 13  1 18 19 17  8 15  2  4  7  3 14 20 11 10  6],4,512,10
121,0,2723.7167778713315,0.45311920000000017,[15  0 16  1 14  6 13  4 11 18  7  5 20  2 19  8 12 10 17  3  9],5,512,10
122,1,2723.7167778713315,0.45538950000000034,[15  0 16  1 14  6 13  4 11 18  7  5 20  2 19  8 12 10 17  3  9],5,512,10
123,2,2429.340730800858,0.45649510000000015,[15  0 16  1  9  6 13  4 11 18  7  5 20  2 19  8 12 10 17  3 14],5,512,10
124,4,2210.431084007832,0.4570175000000001,[15  0 16  1  9  6 13  4 11 18  2  5 20  7 19  8 12 10 17  3 14],5,512,10
125,8,2210.431084007832,0.4578306000000003,[15  0 16  1  9  6 13  4 11 18  2  5 20  7 19  8 12 10 17  3 14],5,512,10
126,16,2081.4875217113085,0.4591503000000001,[20  0 16  9  1  6 13  4 11 18  2  5 15  7 19  8 12 10 17  3 14],5,512,10
127,32,1945.3767700146375,0.46508600000000033,[20  0 16  9  1  4 13 10  6 18  2  5 15 19  7  3 12 11 17  8 14],5,512,10
128,64,1836.129098083037,0.47209009999999996,[ 8  0 16  9  1  4 13 10  6 18  2  5 15 19  7  3 12 11 20 17 14],5,512,10
129,128,1712.6975975450728,0.4885583000000002,[ 8  0 16  9  1 11 10 18  6 13  2  5 12 19 15  3  7  4 20 17 14],5,512,10
130,256,1410.5121045899464,0.5098516000000002,[ 8  0 16 15 13 10 11  6 18  1  9  5 12  2  3  7 19  4 20 14 17],5,512,10
131,512,1335.25740047022,0.5575680000000003,[20 15 16  0  6 11 10 13 18  1  9  5 12  2  7  3 19  4  8 17 14],5,512,10
132,0,2462.6469638448552,0.5588944000000002,[19 17 20  6  2  9  1 15 16 12 18  8  5 10  3  0  4 13 14  7 11],6,512,10
