,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,type,init_temp,decay,min_temp,current_value,exp_const
0,0,11.0,0.0002068999992843601,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],1,512,1,geometric,1,0.99,0.001,0.9999979205876811,
1,1,11.0,0.000685699999849021,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],1,512,1,geometric,1,0.99,0.001,0.9999931085084532,
2,2,13.0,0.001170300000012503,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],1,512,1,geometric,1,0.99,0.001,0.9999882381611215,
3,4,11.0,0.002830599999469996,[0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],1,512,1,geometric,1,0.99,0.001,0.9999715519239926,
4,8,7.0,0.005309099999976752,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1],1,512,1,geometric,1,0.99,0.001,0.9999466431854459,
5,16,13.0,0.006620099999963713,[0 1 1 1 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1 0 1],1,512,1,geometric,1,0.99,0.001,0.9999334679849693,
6,32,14.0,0.0084670999995069,[0 0 1 1 0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 0 0],1,512,1,geometric,1,0.99,0.001,0.9999149064219637,
7,64,16.0,0.01255959999980405,[1 0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 0 1 0 1],1,512,1,geometric,1,0.99,0.001,0.9998737797682602,
8,128,16.0,0.024345699999685166,[1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 0 1 0 1],1,512,1,geometric,1,0.99,0.001,0.9997553474707267,
9,256,19.0,0.03921429999991233,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1],1,512,1,geometric,1,0.99,0.001,0.9996059607685986,
10,512,19.0,0.07021309999981895,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1],1,512,1,geometric,1,0.99,0.001,0.9992945836868437,
11,0,11.0,9.359999967273325e-05,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],1,512,1,arithmetic,1,0.0001,0.001,0.99999999064,
12,1,11.0,0.00033650000023044413,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],1,512,1,arithmetic,1,0.0001,0.001,0.99999996635,
13,2,13.0,0.0006164999995235121,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],1,512,1,arithmetic,1,0.0001,0.001,0.99999993835,
14,4,11.0,0.0009865000001809676,[0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],1,512,1,arithmetic,1,0.0001,0.001,0.9999999013499999,
15,8,7.0,0.0022630000003118766,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1],1,512,1,arithmetic,1,0.0001,0.001,0.9999997736999999,
16,16,13.0,0.0034926999996969244,[0 1 1 1 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1 0 1],1,512,1,arithmetic,1,0.0001,0.001,0.9999996507300001,
17,32,14.0,0.0055709999996906845,[0 0 1 1 0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 0 0],1,512,1,arithmetic,1,0.0001,0.001,0.9999994429,
18,64,15.0,0.01065310000012687,[0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1],1,512,1,arithmetic,1,0.0001,0.001,0.99999893469,
19,128,15.0,0.017256799999813666,[1 0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 1 0 0 1 0],1,512,1,arithmetic,1,0.0001,0.001,0.99999827432,
20,256,9.0,0.03382439999950293,[1 0 0 1 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 1 0],1,512,1,arithmetic,1,0.0001,0.001,0.99999661756,
21,512,14.0,0.06795580000016344,[1 1 0 0 1 0 0 1 0 1 0 1 0 1 1 0 0 0 1 0 1],1,512,1,arithmetic,1,0.0001,0.001,0.99999320442,
22,0,11.0,0.00010300000030838419,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],1,512,1,exponential,1,,0.001,0.999999485000131,0.005
23,1,11.0,0.0003752000002350542,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],1,512,1,exponential,1,,0.001,0.9999981240017585,0.005
24,2,13.0,0.0006839000006948481,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],1,512,1,exponential,1,,0.001,0.9999965805058431,0.005
25,4,11.0,0.0010852000004888396,[0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],1,512,1,exponential,1,,0.001,0.9999945740147183,0.005
26,8,7.0,0.0018728000004557543,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1],1,512,1,exponential,1,,0.001,0.9999906360438399,0.005
27,16,13.0,0.003215700000509969,[0 1 1 1 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1 0 1],1,512,1,exponential,1,,0.001,0.9999839216292559,0.005
28,32,14.0,0.005386400000134017,[0 0 1 1 0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 0 0],1,512,1,exponential,1,,0.001,0.9999730683626624,0.005
29,64,16.0,0.01081880000037927,[1 0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 0 1 0 1],1,512,1,exponential,1,,0.001,0.9999459074630521,0.005
30,128,18.0,0.017917600000146194,[1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 0 1 0 1],1,512,1,exponential,1,,0.001,0.9999104160128843,0.005
31,256,20.0,0.03066949999993085,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1],1,512,1,exponential,1,,0.001,0.9998466642571272,0.005
32,512,20.0,0.03066949999993085,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1],1,512,1,exponential,1,,0.001,0.9998466642571272,0.005
33,0,11.0,0.00018869999985327013,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],10,512,10,geometric,10,0.99,0.001,9.999981035034242,
