,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,type,init_temp,decay,min_temp,current_value,exp_const
0,0,17.0,0.002134799999112147,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],1,512,1,geometric,1,0.99,0.001,0.9999785447731956,
1,1,19.0,0.00548259999959555,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],1,512,1,geometric,1,0.99,0.001,0.9999448995467394,
2,2,17.0,0.00814269999955286,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],1,512,1,geometric,1,0.99,0.001,0.9999181664787955,
3,4,17.0,0.012353999999504595,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],1,512,1,geometric,1,0.99,0.001,0.9998758458586342,
4,8,17.0,0.01980309999999008,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],1,512,1,geometric,1,0.99,0.001,0.9998009919987795,
5,16,15.0,0.029616799999530485,[ 6  9  4 18  7  9  6 14  1 16 20 20  7  2  6  1 11  5  1 20  9],1,512,1,geometric,1,0.99,0.001,0.9997023855090803,
6,32,10.0,0.050817299999835086,[12  0  0 18  7  9  6 10  1 16 20 20  8  2 14  1 11  5 17 20  9],1,512,1,geometric,1,0.99,0.001,0.9994893994686752,
7,64,11.0,0.07372939999913797,[12  0  7 18  0  3 19 10  6 16 16 20 14  7  8  1 11  5 17 20 12],1,512,1,geometric,1,0.99,0.001,0.9992592692443083,
8,128,5.0,0.11689569999998639,[15 19  8  0  9  3 17 10  4  2 18 11 14 20  8 19 11  1  7 20 12],1,512,1,geometric,1,0.99,0.001,0.998825848810727,
9,256,4.0,0.19050439999955415,[16 20 20  0  9  3 17 10  4  2 10 17 14 20 15 19 11  1  6 18 12],1,512,1,geometric,1,0.99,0.001,0.9980871985393591,
10,512,3.0,0.34424439999929746,[16  8 19  5  9  3 17 10  4  2  0 20 13  2 14  7 11  1  6 18 12],1,512,1,geometric,1,0.99,0.001,0.9965462062786064,
11,0,17.0,0.0011333000002196059,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],1,512,1,arithmetic,1,0.0001,0.001,0.99999988667,
12,1,19.0,0.0027767000001404085,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],1,512,1,arithmetic,1,0.0001,0.001,0.99999972233,
13,2,17.0,0.004261099999894213,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],1,512,1,arithmetic,1,0.0001,0.001,0.99999957389,
14,4,17.0,0.006831400000010035,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],1,512,1,arithmetic,1,0.0001,0.001,0.99999931686,
15,8,17.0,0.011468499999864434,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],1,512,1,arithmetic,1,0.0001,0.001,0.99999885315,
16,16,15.0,0.019217199999729928,[ 6  9  4 18  7  9  6 14  1 16 20 20  7  2  6  1 11  5  1 20  9],1,512,1,arithmetic,1,0.0001,0.001,0.99999807828,
17,32,10.0,0.03164550000019517,[12  0  0 18  7  9  6 10  1 16 20 20  8  2 14  1 11  5 17 20  9],1,512,1,arithmetic,1,0.0001,0.001,0.99999683545,
18,64,11.0,0.07339529999990191,[19  0  7 18  0  3  1 10  6 16 16 20 14  7  8  1 11  5 17 20 12],1,512,1,arithmetic,1,0.0001,0.001,0.99999266047,
19,128,9.0,0.11870929999986402,[ 7 10 18  0  2  3 18 20  9 19 16  4 14 20 11  8 20  1 13  2 12],1,512,1,arithmetic,1,0.0001,0.001,0.99998812907,
20,256,14.0,0.22464279999985592,[19  5  2 10  9 16 18 17 12  5 16 16 18 20 15  8  6 19  4  7  1],1,512,1,arithmetic,1,0.0001,0.001,0.99997753572,
21,512,11.0,0.4157318999996278,[16 14 12 17  2  7  2 10  6  0  3 18 11 18 13  8 11 18  4  6  1],1,512,1,arithmetic,1,0.0001,0.001,0.99995842681,
22,0,17.0,0.0017278999994232436,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],1,512,1,exponential,1,,0.001,0.9999913605373233,0.005
23,1,19.0,0.0038272000001597917,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],1,512,1,exponential,1,,0.001,0.9999808641830913,0.005
24,2,17.0,0.0060996000001978246,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],1,512,1,exponential,1,,0.001,0.9999695024650583,0.005
25,4,17.0,0.008933299999625888,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],1,512,1,exponential,1,,0.001,0.9999553344975352,0.005
26,8,17.0,0.013999199999489065,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],1,512,1,exponential,1,,0.001,0.9999300064496655,0.005
27,16,15.0,0.0239635999996608,[ 6  9  4 18  7  9  6 14  1 16 20 20  7  2  6  1 11  5  1 20  9],1,512,1,exponential,1,,0.001,0.9998801891778916,0.005
28,32,10.0,0.037841999999727705,[12  0  0 18  7  9  6 10  1 16 20 20  8  2 14  1 11  5 17 20  9],1,512,1,exponential,1,,0.001,0.9998108078990845,0.005
29,64,11.0,0.06483620000017254,[19  0  7 18  0  3  1 10  6 16 16 20 14  7  8  1 11  5 17 20 12],1,512,1,exponential,1,,0.001,0.9996758715409818,0.005
30,128,11.0,0.10852049999994051,[ 7  0  8  5  9 13 18 20  6  2 15  4 14  4 11 15 20  1 15 20 12],1,512,1,exponential,1,,0.001,0.9994575446821151,0.005
31,256,6.0,0.2079334000000017,[ 7 18 18  8  2  0 18 16  6 19 12  4 15  4 11  3  5  3 17 13 10],1,512,1,exponential,1,,0.001,0.9989608732664867,0.005
