,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,type,init_temp,decay,min_temp,current_value,exp_const
0,0,17.0,0.0024130000001605367,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],1,512,1,geometric,1,0.99,0.001,0.9999757488336481,
1,1,19.0,0.006186800000250514,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],1,512,1,geometric,1,0.99,0.001,0.999937822515239,
2,2,17.0,0.010431100000459992,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],1,512,1,geometric,1,0.99,0.001,0.9998951694367815,
3,4,17.0,0.015690900000663532,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],1,512,1,geometric,1,0.99,0.001,0.9998423136189541,
4,8,17.0,0.025633600000219303,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],1,512,1,geometric,1,0.99,0.001,0.9997424068936662,
5,16,15.0,0.042757199999869044,[ 6  9  4 18  7  9  6 14  1 16 20 20  7  2  6  1 11  5  1 20  9],1,512,1,geometric,1,0.99,0.001,0.9995703680980744,
6,32,10.0,0.07432390000030864,[12  0  0 18  7  9  6 10  1 16 20 20  8  2 14  1 11  5 17 20  9],1,512,1,geometric,1,0.99,0.001,0.9992532987632786,
7,64,11.0,0.12543710000045394,[12  0  7 18  0  3 19 10  6 16 16 20 14  7  8  1 11  5 17 20 12],1,512,1,geometric,1,0.99,0.001,0.9987401093459852,
8,128,5.0,0.1848005000001649,[15 19  8  0  9  3 17 10  4  2 18 11 14 20  8 19 11  1  7 20 12],1,512,1,geometric,1,0.99,0.001,0.9981444166365894,
9,256,4.0,0.2739799999999377,[16 20 20  0  9  3 17 10  4  2 10 17 14 20 15 19 11  1  6 18 12],1,512,1,geometric,1,0.99,0.001,0.9972501966372551,
10,512,3.0,0.4644105000006675,[16  8 19  5  9  3 17 10  4  2  0 20 13  2 14  7 11  1  6 18 12],1,512,1,geometric,1,0.99,0.001,0.9953433942654829,
11,0,17.0,0.001867599999968661,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],1,512,1,arithmetic,1,0.0001,0.001,0.99999981324,
12,1,19.0,0.004797799999323615,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],1,512,1,arithmetic,1,0.0001,0.001,0.99999952022,
13,2,17.0,0.007773399999678077,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],1,512,1,arithmetic,1,0.0001,0.001,0.9999992226600001,
14,4,17.0,0.013584199999968405,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],1,512,1,arithmetic,1,0.0001,0.001,0.99999864158,
15,8,17.0,0.019360499999493186,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],1,512,1,arithmetic,1,0.0001,0.001,0.99999806395,
16,16,15.0,0.026477499999600695,[ 6  9  4 18  7  9  6 14  1 16 20 20  7  2  6  1 11  5  1 20  9],1,512,1,arithmetic,1,0.0001,0.001,0.9999973522500001,
17,32,10.0,0.04597199999989243,[12  0  0 18  7  9  6 10  1 16 20 20  8  2 14  1 11  5 17 20  9],1,512,1,arithmetic,1,0.0001,0.001,0.9999954028,
18,64,11.0,0.08556979999957548,[19  0  7 18  0  3  1 10  6 16 16 20 14  7  8  1 11  5 17 20 12],1,512,1,arithmetic,1,0.0001,0.001,0.9999914430200001,
19,128,9.0,0.15533399999912945,[ 7 10 18  0  2  3 18 20  9 19 16  4 14 20 11  8 20  1 13  2 12],1,512,1,arithmetic,1,0.0001,0.001,0.9999844666000001,
20,256,14.0,0.2612296999996033,[19  5  2 10  9 16 18 17 12  5 16 16 18 20 15  8  6 19  4  7  1],1,512,1,arithmetic,1,0.0001,0.001,0.9999738770300001,
21,512,11.0,0.4539476999998442,[16 14 12 17  2  7  2 10  6  0  3 18 11 18 13  8 11 18  4  6  1],1,512,1,arithmetic,1,0.0001,0.001,0.99995460523,
22,0,17.0,0.0015090999995663879,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],1,512,1,exponential,1,,0.001,0.9999924545284694,0.005
23,1,19.0,0.004171900000073947,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],1,512,1,exponential,1,,0.001,0.9999791407175574,0.005
24,2,17.0,0.00605840000025637,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],1,512,1,exponential,1,,0.001,0.9999697084587967,0.005
25,4,17.0,0.008867100000315986,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],1,512,1,exponential,1,,0.001,0.9999556654828021,0.005
26,8,17.0,0.01452160000008007,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],1,512,1,exponential,1,,0.001,0.9999273946358966,0.005
27,16,15.0,0.02493400000003021,[ 6  9  4 18  7  9  6 14  1 16 20 20  7  2  6  1 11  5  1 20  9],1,512,1,exponential,1,,0.001,0.9998753377709814,0.005
28,32,10.0,0.039105900000322436,[12  0  0 18  7  9  6 10  1 16 20 20  8  2 14  1 11  5 17 20  9],1,512,1,exponential,1,,0.001,0.9998044896146452,0.005
29,64,11.0,0.06627399999979389,[19  0  7 18  0  3  1 10  6 16 16 20 14  7  8  1 11  5 17 20 12],1,512,1,exponential,1,,0.001,0.9996686848969756,0.005
30,128,11.0,0.10963110000011511,[ 7  0  8  5  9 13 18 20  6  2 15  4 14  4 11 15 20  1 15 20 12],1,512,1,exponential,1,,0.001,0.9994519947097782,0.005
31,256,6.0,0.19287830000030226,[ 7 18 18  8  2  0 18 16  6 19 12  4 15  4 11  3  5  3 17 13 10],1,512,1,exponential,1,,0.001,0.9990360733760283,0.005
32,512,3.0,0.3461686999999074,[15  9  7 16 14  1 18  0  6  4 12 20  0  4 11 19  5  3 19 13 10],1,512,1,exponential,1,,0.001,0.9982706535457694,0.005
